Country, 2030_NECP_GW,2040_NECP_10%_GW,,,,,,,,,
BE,4,4.4,,,,,,,,,
DE,20,22,,,,,,,,,
DK,5,5.5,,,,,,,,,
CH,5,5.5,,,,,,,,,
FI,0.04,0.05,,,,,,,,,
FR,4.92,5.41,,,,,,,,,
IE,3.5,3.85,,,,,,,,,
LT,0.7,0.77,,,,,,,,,
LV,1,1.1,,,,,,,,,
NL,11,12.1,,,,,,,,,
NO,4.5,4.95,,,,,,,,,
PL,3.8,4.18,,,,,,,,,
PT,0.3,0.33,,,,,,,,,
SE,1.19,1.31,,,,,,,,,
UK,40,44,,,,,,,,,
Source,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
